Segment,(1) User signed in,(2) offer list page printed
$overall,156502,792
1000005,1,0
1000024,1,0
1000027,1,0
1000053,1,0
1000061,1,0
1000082,1,0
1000090,1,0
1000092,1,0
1000111,1,0
1000123,1,0
1000126,1,0
1000164,1,0
1000170,1,0
1000270,1,0
1000276,1,0
1000295,1,0
1000307,1,0
1000314,1,0
1000342,1,0
100036,1,0
1000405,1,0
1000409,1,0
1000424,1,0
1000434,1,0
1000436,1,0
1000439,1,0
1000440,1,0
1000445,1,0
1000469,1,0
1000505,1,0
1000510,1,0
1000558,1,0
1000596,1,0
1000624,1,0
1000645,1,0
1000648,1,0
1000663,1,0
1000706,1,0
1000711,1,0
1000745,1,0
1000870,1,0
1000896,1,0
1000902,1,0
1000961,1,0
1000981,1,0
1000997,1,0
1001009,1,0
1001069,2,0
1001076,1,0
1001078,1,0
1001153,1,0
1001162,1,0
1001164,1,0
1001169,1,0
1001176,1,0
1001179,1,0
1001184,1,0
1001205,1,0
1001207,1,0
1001234,1,0
1001393,1,0
1001414,1,0
1001436,1,0
1001442,1,0
1001448,1,0
1001451,1,0
1001456,1,0
1001481,1,0
1001552,1,0
1001608,1,0
1001635,1,0
1001653,1,0
1001699,1,0
1001722,1,0
1001738,1,0
1001770,1,0
1001773,1,0
1001789,1,0
1001799,1,0
1001800,1,0
1001880,1,0
1001909,1,0
1001923,1,0
1001929,1,0
1001947,1,0
1001948,1,0
1002007,1,0
1002023,1,0
1002053,1,0
1002061,1,0
1002064,1,0
1002097,1,0
1002110,1,0
1002136,1,0
1002148,1,0
1002191,1,0
1002227,1,0
1002236,1,0
1002239,1,0
1002269,1,0
1002276,1,0
1002277,1,0
1002293,1,0
1002310,1,0
1002326,1,0
1002330,1,0
1002347,1,0
1002374,1,0
1002378,1,0
1002385,1,0
1002406,1,0
1002424,1,0
1002439,1,0
1002447,1,0
1002454,1,0
1002459,1,0
1002478,1,0
1002484,1,0
1002527,1,0
1002540,1,0
1002575,1,0
1002603,1,0
1002627,1,0
1002638,1,0
1002649,1,0
1002660,1,0
1002668,1,0
1002674,1,0
1002699,1,0
1002703,1,0
1002725,1,0
1002733,1,0
1002734,1,0
1002737,1,0
1002751,1,0
1002793,1,0
1002811,1,0
1002857,1,0
1002862,1,0
1002866,1,0
1002877,1,0
1002905,1,0
100294,1,0
1002941,1,0
1002978,1,0
1003027,1,0
1003060,1,0
1003064,1,0
1003072,1,0
1003087,1,0
1003090,1,0
1003111,1,0
1003118,1,0
1003122,1,0
1003140,1,0
1003146,1,0
1003148,1,0
1003168,1,0
1003184,1,0
1003188,1,0
1003209,1,0
1003214,1,0
1003254,1,0
1003274,1,0
1003294,1,0
1003302,1,0
1003304,1,0
1003322,1,0
1003323,1,0
1003357,1,0
1003387,1,0
1003388,1,0
1003403,1,0
1003415,1,0
1003455,1,0
1003462,1,0
1003501,1,0
1003531,1,0
1003561,1,0
1003568,1,0
1003575,1,0
1003576,1,0
1003584,1,0
1003614,1,0
1003636,1,0
1003659,1,0
1003660,1,0
1003661,1,0
1003665,1,0
1003671,1,0
1003697,1,0
1003707,1,0
1003710,1,0
1003735,1,0
1003751,1,0
1003759,1,0
1003804,1,0
1003832,1,0
1003902,1,0
1003984,1,0
1003988,1,0
100399,1,0
1004103,1,0
1004119,1,0
1004149,1,0
1004150,1,0
1004154,1,1
1004191,1,0
1004221,1,0
1004225,1,0
1004227,1,0
1004250,1,0
1004259,1,0
1004298,1,0
1004362,1,0
1004406,1,0
1004419,1,0
1004456,1,0
1004490,1,0
1004491,1,0
1004493,1,0
1004506,1,0
1004509,1,0
1004526,1,0
1004542,1,0
1004544,1,0
1004563,1,0
1004595,1,0
1004620,1,0
1004660,1,0
1004720,1,0
1004756,1,0
1004780,1,0
1004797,1,0
1004811,1,0
1004853,1,0
1004855,1,0
1004865,1,0
1004866,1,0
1004893,1,0
1004969,1,0
1004972,1,0
1004978,1,0
1004987,1,0
1004991,1,0
1005014,1,0
1005025,1,0
1005089,1,0
1005092,1,0
1005102,1,0
1005114,1,0
1005134,1,0
1005145,1,0
1005151,1,0
1005173,1,0
1005174,1,0
1005198,1,0
1005200,1,0
1005225,1,0
1005237,1,0
1005298,1,0
1005313,1,0
1005350,1,0
1005357,1,0
1005358,1,0
1005374,1,0
1005379,1,0
1005484,1,0
1005487,1,0
1005501,1,0
1005524,1,0
1005556,1,0
1005561,1,0
1005605,1,0
1005615,1,0
1005652,1,0
1005654,1,0
1005655,1,0
1005661,1,0
1005678,1,0
1005685,1,0
1005738,1,0
1005766,1,0
1005823,1,0
1005840,1,0
1005879,1,0
1005899,1,0
1005900,1,0
1005904,1,0
1005936,1,0
1005947,1,0
1005974,1,0
1005994,1,0
1005999,1,0
1006012,1,0
1006032,1,0
1006043,1,0
1006073,1,0
1006092,1,0
1006114,1,0
1006146,1,0
1006161,1,0
1006201,1,0
1006208,1,0
1006282,1,0
1006311,1,0
1006343,1,0
1006380,1,0
1006395,1,0
1006398,1,0
1006464,1,0
1006482,1,0
1006484,1,0
1006500,1,0
1006560,1,0
1006566,1,0
1006568,1,0
1006574,1,0
1006585,1,0
1006613,1,0
1006617,1,0
1006682,1,0
1006691,1,0
1006693,1,0
1006696,1,0
1006701,1,0
1006712,1,0
1006719,1,0
1006721,1,0
1006730,1,0
1006742,1,0
1006773,1,0
1006777,1,0
1006780,1,0
1006783,1,0
1006812,1,0
1006863,1,0
1006910,1,0
1006919,1,0
1006938,1,0
1006958,1,0
1006961,1,0
1006984,1,0
1006993,1,0
1007003,1,0
1007005,1,0
1007006,1,0
1007008,1,0
1007020,1,0
1007066,1,0
1007142,1,0
1007169,1,0
1007233,1,0
1007235,1,0
1007244,1,0
1007251,1,0
1007264,1,0
1007281,1,0
1007348,1,0
1007360,1,0
1007388,1,0
1007410,1,0
1007411,1,0
1007417,1,0
1007424,1,0
1007432,1,0
1007433,1,0
1007462,1,0
1007488,1,0
1007489,1,0
1007495,1,0
1007508,1,0
1007527,1,0
1007545,1,0
1007574,1,0
1007586,1,0
1007606,1,0
1007607,1,0
1007653,1,0
1007654,1,0
100768,1,0
1007692,1,0
1007706,1,0
1007721,1,0
1007734,1,0
1007822,1,0
1007863,1,0
1007907,1,0
1007914,1,0
1007929,1,0
1007945,1,0
1007950,1,0
1008022,1,0
1008031,1,0
1008053,1,0
1008090,1,0
1008117,1,0
1008136,1,0
1008166,1,0
1008187,1,0
1008253,1,0
1008254,1,0
1008277,1,0
1008283,1,0
1008298,1,0
1008321,1,0
1008330,1,0
1008336,1,0
1008340,1,0
1008367,1,0
1008368,1,0
1008416,1,0
1008452,1,0
1008484,1,0
1008497,1,0
1008499,1,0
1008516,1,0
1008528,1,0
1008534,1,0
1008577,1,0
1008582,1,0
1008635,1,0
1008637,1,0
1008638,1,0
1008648,1,0
1008649,1,0
1008655,1,0
1008681,1,0
100870,1,0
1008703,1,0
1008708,1,0
1008745,1,0
1008782,1,0
1008834,1,0
